Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
9,1.0,0,0,2,0.0,31,3,6,13,37.0,37.0,0,0.0,4.0,0.0,71.3,0.24,18.4,12.7
9,1.0,0,0,2,0.0,31,3,6,13,37.0,37.0,0,0.0,4.0,0.0,70.6,0.48,21.1,16.9
9,1.0,0,0,2,0.0,31,3,6,13,37.0,37.0,0,0.0,4.0,0.0,70.8,0.72,15.0,32.4
9,1.0,0,0,2,0.0,31,3,6,13,37.0,37.0,0,0.0,4.0,0.0,75.7,0.24,21.2,9.6
9,1.0,0,0,2,0.0,31,3,6,13,37.0,37.0,0,0.0,4.0,0.0,76.8,0.48,14.9,27.7
9,1.0,0,0,2,0.0,31,3,6,13,37.0,37.0,0,0.0,4.0,0.0,74.0,0.72,18.0,24.9
0,1.0,1,0,2,0.0,31,3,3,13,21.0,21.0,2,0.0,0.0,0.0,71.66,0.0,19.76,5.37
0,1.0,1,0,2,0.0,31,3,3,13,21.0,21.0,2,0.0,0.0,0.0,69.89,0.0,17.34,2.59
9,1.0,0,0,2,0.0,31,3,6,13,31.0,30.0,0,0.0,1.0,2.83,69.47,0.31,13.16,23.81
0,1.0,0,0,2,0.0,31,3,5,13,35.0,35.0,0,0.0,9.0,0.0,66.03,0.81,21.96,12.59
0,1.0,0,0,2,0.0,31,3,5,13,35.0,35.0,0,0.0,9.0,0.0,65.69,0.81,21.51,16.16
0,1.0,0,0,2,0.0,31,3,5,13,35.0,35.0,0,0.0,9.0,0.0,66.14,0.81,21.64,17.44
9,0.0,1,0,2,0.0,31,3,6,13,70.0,0.0,2,0.0,10.0,0.0,64.0,0.0,17.4,29.5
9,1.0,1,0,2,0.0,31,3,6,13,70.0,0.0,2,0.0,10.0,0.0,64.0,0.0,17.4,26.6
9,0.0,1,0,2,0.0,31,3,6,13,70.0,0.0,2,0.0,5.0,0.0,64.0,0.0,17.4,27.9
9,1.0,1,0,2,0.0,31,3,6,13,70.0,0.0,2,0.0,5.0,0.0,64.0,0.0,17.4,23.7
9,0.0,1,0,2,0.0,31,3,6,13,70.0,0.0,2,0.0,0.0,0.0,64.0,0.0,17.4,12.8
9,1.0,1,0,2,0.0,31,3,6,13,70.0,0.0,2,0.0,0.0,0.0,64.0,0.0,17.4,10.3
9,0.0,2,0,2,0.0,31,3,0,13,55.0,0.0,2,0.0,7.0,0.0,60.04,0.0,15.39,4.51
9,0.0,2,0,2,0.0,31,3,0,13,55.0,0.0,2,0.0,15.0,0.0,60.04,0.0,15.39,2.5
8,0.0,2,0,2,0.0,31,3,0,13,30.0,0.0,2,0.0,12.0,0.0,64.83,0.0,7.73,4.44
8,0.77,2,0,2,12.28,31,3,0,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,2.18
8,1.0,0,0,2,0.0,31,3,6,13,35.0,35.0,0,0.0,5.0,0.0,72.1,0.2,11.37,21.16
9,1.0,0,0,2,0.0,31,3,6,13,56.0,0.0,2,0.0,7.0,0.0,67.6,0.0,18.98,35.7
9,1.0,0,0,2,0.0,40,3,6,13,56.0,0.0,2,0.0,7.0,3.3,67.6,0.0,18.98,27.4
9,1.0,0,0,2,0.0,40,3,6,13,56.0,0.0,2,0.0,7.0,6.6,67.6,0.0,18.98,20.7
9,1.0,0,0,2,0.0,40,3,6,13,56.0,0.0,2,0.0,7.0,9.9,67.6,0.0,18.98,15.7
9,1.0,0,0,2,0.0,40,3,6,13,56.0,0.0,2,0.0,7.0,13.2,67.6,0.0,18.98,12.9
7,1.0,0,0,2,0.0,31,3,6,13,28.0,0.0,2,0.0,9.0,0.0,61.46,0.0,30.88,36.3
7,1.0,0,0,2,0.0,8,3,6,13,28.0,0.0,2,0.0,9.0,2.0,60.66,0.0,30.04,33.2
7,1.0,0,0,2,0.0,8,3,6,13,28.0,0.0,2,0.0,9.0,4.0,59.71,0.0,30.35,26.6
7,1.0,0,0,2,0.0,8,3,6,13,28.0,0.0,2,0.0,9.0,6.0,60.45,0.0,30.57,20.4
7,1.0,0,0,2,0.0,8,3,6,13,28.0,0.0,2,0.0,9.0,8.0,60.07,0.0,30.88,14.9
7,1.0,0,0,2,0.0,8,3,6,13,28.0,0.0,2,0.0,9.0,10.0,59.45,0.0,31.04,10.7
0,0.0,1,0,2,0.0,31,3,6,13,64.0,0.0,2,0.0,12.0,0.0,74.0,0.0,22.14,8.12
0,1.0,1,0,2,0.0,31,3,6,13,64.0,0.0,2,0.0,12.0,0.0,74.0,0.0,18.21,7.47
0,1.0,1,0,2,0.0,31,3,6,13,64.0,0.0,2,0.0,12.0,0.0,74.0,0.0,18.21,16.56
0,1.0,1,0,2,0.0,31,3,6,13,64.0,64.0,0,0.0,12.0,0.0,74.0,1.16,19.65,22.51
7,1.0,0,0,2,30.0,31,1,6,13,25.0,25.0,1,30.0,0.0,0.0,60.0,0.08,19.77,0.04
7,1.0,0,0,2,30.0,31,1,6,13,25.0,25.0,1,30.0,0.0,0.0,60.0,0.83,20.12,10.76
7,1.0,0,0,2,30.0,31,1,6,13,25.0,25.0,1,30.0,0.0,0.0,60.0,1.64,20.02,19.91
9,0.0,1,0,2,0.0,31,3,3,13,61.1,0.0,2,0.0,3.2,0.0,77.53,0.0,6.53,2.6
9,0.0,1,0,2,0.0,31,3,0,13,61.1,0.0,2,0.0,3.2,0.0,66.71,0.0,6.81,1.2
9,0.0,1,0,2,0.0,31,3,0,13,70.6,0.0,2,0.0,5.7,0.0,66.36,0.0,9.22,0.55
9,0.0,1,0,2,0.0,31,3,0,13,61.1,0.0,2,0.0,3.2,0.0,67.68,0.0,7.35,0.15
9,0.0,1,0,2,0.0,31,3,0,13,64.1,0.0,2,0.0,5.6,0.0,66.26,0.0,7.24,0.25
8,1.0,0,0,2,0.0,31,3,5,13,50.0,50.0,0,0.0,0.0,0.0,72.13,0.22,19.11,19.06
8,1.0,0,0,2,0.0,31,3,6,13,50.0,50.0,0,0.0,0.0,0.0,69.74,0.21,13.27,13.7
8,1.0,0,0,2,0.0,31,3,2,13,50.0,50.0,0,0.0,0.0,0.0,71.05,0.21,13.56,11.68
9,1.0,0,0,2,30.0,31,3,6,13,28.0,28.0,1,30.0,2.0,0.0,60.0,0.86,15.04,18.35
9,1.0,0,0,2,30.0,31,3,6,13,28.0,28.0,1,30.0,2.0,0.0,60.0,0.93,19.96,20.72
9,1.0,0,0,2,30.0,31,3,6,13,28.0,28.0,1,30.0,2.0,0.0,60.0,0.9,24.99,25.05
9,1.0,0,0,2,30.0,31,3,6,13,28.0,28.0,1,30.0,2.0,0.0,60.0,0.91,30.23,25.95
2,1.0,0,0,2,60.0,31,3,3,13,28.0,28.0,1,30.0,4.0,0.0,66.9,1.21,25.0,34.9
2,1.0,0,0,2,60.0,31,3,0,13,28.0,28.0,1,30.0,4.0,0.0,58.6,0.96,20.9,18.2
2,1.0,0,0,2,60.0,31,3,0,13,28.0,28.0,1,30.0,4.0,0.0,53.1,0.86,18.7,6.5
2,1.0,0,0,2,60.0,31,3,0,13,28.0,28.0,1,30.0,4.0,0.0,47.5,0.76,16.8,1.4
0,0.77,2,0,2,12.28,31,3,3,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,16.06
0,0.77,2,0,2,12.28,31,3,3,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,7.55
7,1.0,0,0,2,0.0,31,3,5,13,50.0,50.0,0,0.0,0.0,0.0,73.67,0.2,9.89,13.53
9,0.0,1,0,2,0.0,31,3,3,13,65.0,0.0,2,0.0,18.0,0.0,80.3,0.0,15.4,35.57
9,0.0,1,0,2,0.0,31,3,6,13,65.0,0.0,2,0.0,18.0,0.0,70.4,0.0,28.3,27.93
9,0.0,1,0,2,0.0,31,3,6,13,65.0,0.0,2,0.0,18.0,0.0,71.6,0.0,30.2,25.77
9,0.0,1,0,2,0.0,31,3,0,13,65.0,0.0,2,0.0,18.0,0.0,70.1,0.0,24.7,11.03
0,0.0,2,0,2,0.0,31,3,6,13,88.0,0.0,2,0.0,1.0,0.0,72.5,0.0,24.8,11.0
0,0.0,2,0,2,0.0,31,3,6,13,88.0,0.0,2,0.0,1.0,0.0,72.5,0.0,24.8,17.0
0,0.0,2,0,2,0.0,31,3,6,13,88.0,0.0,2,0.0,3.0,0.0,72.5,0.0,24.8,18.0
0,0.0,2,0,2,0.0,31,3,6,13,85.0,0.0,2,0.0,0.0,0.0,74.8,0.0,22.3,1.0
0,0.0,2,0,2,0.0,31,3,6,13,85.0,0.0,2,0.0,1.0,0.0,74.8,0.0,22.3,2.0
0,0.0,2,0,2,0.0,31,3,6,13,85.0,0.0,2,0.0,3.0,0.0,74.8,0.0,22.3,2.0
8,0.0,1,0,2,40.0,31,3,0,13,37.0,37.0,1,20.0,5.0,0.0,65.0,0.19,25.0,19.13
8,0.0,1,0,2,40.0,4,3,0,13,37.0,37.0,1,20.0,5.0,5.0,65.0,0.19,25.0,14.06
8,0.0,1,0,2,40.0,4,3,0,13,37.0,37.0,1,20.0,5.0,10.0,65.0,0.19,25.0,16.01
0,0.0,2,0,2,0.0,42,3,6,13,51.0,0.0,2,0.0,14.0,9.67,65.0,0.0,15.0,9.75
0,0.0,2,0,2,0.0,31,3,6,13,51.0,0.0,2,0.0,14.0,0.0,65.0,0.0,20.0,6.62
0,0.0,2,0,2,0.0,31,3,6,13,51.0,0.0,2,0.0,14.0,0.0,65.0,0.0,25.0,4.66
0,0.0,2,0,2,0.0,31,3,6,13,51.0,0.0,2,0.0,14.0,0.0,65.0,0.0,30.0,4.13
0,0.0,2,0,2,0.0,31,3,6,13,51.0,0.0,2,0.0,14.0,0.0,65.0,0.0,35.0,3.11
8,0.0,1,0,2,40.0,31,3,0,13,26.0,26.0,1,20.0,0.0,0.0,70.0,0.1,20.42,11.57
8,0.0,1,0,2,40.0,31,3,0,13,26.0,26.0,1,20.0,0.0,0.0,70.0,0.1,20.42,14.24
8,0.0,1,0,2,40.0,31,3,0,13,26.0,26.0,1,20.0,0.0,0.0,70.0,0.1,20.42,18.32
8,1.0,0,0,2,0.0,11,4,5,13,22.0,22.0,0,0.0,0.0,0.0,63.45,0.37,11.68,18.38
8,1.0,0,0,2,0.0,38,3,5,13,22.0,22.0,0,0.0,0.0,0.0,62.82,0.29,10.89,18.09
8,1.0,0,0,2,0.0,31,4,5,13,22.0,22.0,0,0.0,0.0,0.0,63.53,0.37,11.38,28.35
8,1.0,0,0,2,0.0,11,3,5,13,22.0,22.0,0,0.0,0.0,0.0,61.74,0.31,12.39,20.67
8,1.0,0,0,2,0.0,38,4,5,13,22.0,22.0,0,0.0,0.0,0.0,62.52,0.29,12.04,13.88
8,1.0,0,0,2,0.0,31,3,5,13,22.0,22.0,0,0.0,0.0,0.0,62.08,0.31,9.49,29.42
8,1.0,0,0,2,0.0,31,3,6,13,22.0,22.0,0,0.0,0.0,0.0,60.35,0.36,12.19,22.73
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,61.11,0.34,12.47,20.33
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,62.01,0.31,12.04,17.22
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,62.56,0.29,11.48,11.78
8,1.0,0,0,2,0.0,38,3,0,13,22.0,22.0,0,0.0,0.0,0.0,61.58,0.31,12.56,14.71
8,1.0,0,0,2,0.0,31,3,5,13,22.0,22.0,0,0.0,0.0,0.0,63.18,0.35,9.95,29.84
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,57.57,0.33,13.48,9.14
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,61.18,0.34,11.3,7.92
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,60.59,0.36,10.25,5.05
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,59.92,0.36,10.59,14.82
8,1.0,0,0,2,0.0,38,3,6,13,22.0,22.0,0,0.0,0.0,0.0,61.03,0.34,10.29,23.29
8,0.77,0,0,2,12.28,31,3,5,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,2.66
8,0.77,0,0,2,12.28,24,3,5,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,1.58
8,0.77,0,0,2,12.28,24,3,5,5,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,1.86
8,0.77,0,0,2,12.28,15,3,5,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,3.85
9,1.0,2,0,2,0.0,31,3,6,13,56.0,56.0,0,0.0,0.0,0.0,69.4,0.11,29.0,16.5
9,1.0,2,0,2,0.0,42,3,6,13,56.0,56.0,0,0.0,0.0,1.73,71.1,0.11,24.7,27.5
9,1.0,2,0,2,0.0,42,3,6,13,56.0,56.0,0,0.0,0.0,0.32,69.2,0.11,19.5,36.2
9,1.0,2,0,2,0.0,39,3,6,13,56.0,56.0,0,0.0,0.0,0.0,70.3,0.11,19.6,24.8
9,1.0,2,0,2,0.0,42,4,5,13,56.0,56.0,0,0.0,0.0,2.84,71.8,0.11,19.5,24.9
9,1.0,0,0,2,0.0,31,3,3,13,31.6,31.6,0,0.0,2.0,0.0,68.5,0.06,9.78,4.38
7,1.0,0,0,2,0.0,31,3,3,13,31.6,31.6,0,0.0,2.0,0.0,68.8,0.07,8.0,10.21
1,1.0,0,0,2,0.0,31,3,3,13,30.9,30.9,0,0.0,2.0,0.0,62.5,0.13,9.0,0.32
3,1.0,0,0,2,0.0,31,3,5,13,31.7,31.7,0,0.0,2.0,0.0,49.3,0.17,15.85,0.01
3,1.0,0,0,2,0.0,31,3,5,13,31.7,31.7,0,0.0,2.0,0.0,59.3,0.15,15.63,0.01
3,1.0,0,0,2,0.0,31,3,5,13,30.9,30.9,0,0.0,2.0,0.0,44.6,0.14,22.83,0.09
1,1.0,0,0,2,0.0,31,3,5,13,31.6,31.6,0,0.0,2.0,0.0,69.3,0.1,10.15,0.5
1,1.0,0,0,2,0.0,31,3,5,13,31.7,31.7,0,0.0,2.0,0.0,41.9,0.05,21.21,0.0
5,1.0,0,0,2,0.0,31,3,3,13,30.7,30.7,0,0.0,2.0,0.0,50.0,0.09,19.34,0.04
5,1.0,0,0,2,0.0,31,3,3,13,30.8,30.8,0,0.0,2.0,0.0,53.7,0.14,21.87,0.22
8,1.0,0,0,2,0.0,31,3,3,13,30.9,30.9,0,0.0,2.0,0.0,49.4,0.16,4.89,2.09
1,1.0,0,0,2,0.0,31,3,3,13,31.6,31.6,0,0.0,2.0,0.0,62.6,0.17,5.22,0.53
6,1.0,0,0,2,0.0,31,3,5,13,30.7,30.7,0,0.0,2.0,0.0,60.1,0.18,21.79,0.73
6,0.77,0,0,2,12.28,31,3,5,13,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,0.01
1,1.0,0,0,2,0.0,31,3,5,13,30.8,30.8,0,0.0,2.0,0.0,43.4,0.08,15.42,0.08
0,1.0,0,0,2,0.0,31,3,3,13,66.0,66.0,0,0.0,11.0,0.0,72.7,0.4,18.0,23.75
0,1.0,0,0,2,0.0,31,3,3,13,66.0,66.0,0,0.0,11.0,0.0,71.7,0.4,18.0,20.79
0,1.0,0,0,2,0.0,31,3,3,13,66.0,66.0,0,0.0,11.0,0.0,71.7,0.2,18.0,17.63
0,1.0,0,0,2,0.0,31,3,5,13,66.0,66.0,0,0.0,11.0,0.0,68.8,0.2,22.0,11.46
0,1.0,0,0,2,0.0,31,3,5,13,66.0,66.0,0,0.0,11.0,0.0,69.5,0.2,26.0,9.37
0,1.0,0,0,2,0.0,31,3,5,13,66.0,66.0,0,0.0,11.0,0.0,67.3,0.2,29.0,13.16
0,1.0,0,0,2,0.0,31,3,3,13,66.0,66.0,0,0.0,11.0,0.0,71.8,0.2,18.0,19.0
0,0.0,1,0,2,0.0,31,3,6,13,64.0,0.0,2,0.0,0.0,0.0,74.27,0.0,19.03,8.84
0,1.0,1,0,2,0.0,31,3,6,13,64.0,0.0,2,0.0,0.0,0.0,74.27,0.0,18.21,8.04
0,1.0,1,0,2,0.0,31,3,6,13,64.0,0.0,2,0.0,12.0,0.0,74.27,0.0,18.21,17.69
0,0.77,1,0,2,12.28,31,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,24.12
